Id,CourseNameShort,Academy,City,Languages,ProgrammeDuration,TuitionFees,ApplicationDeadline,IsCompleteOnlinePossible,BadgeLabel,SupportInternationalStudents,Subject,TypeOfElearning,From,To,Time ,Frequency ,Distance (km),city2,Jobs in City
4870,MSc Applied Computer Science,Deggendorf Institute Of Technology,deggendorf,English,3 Semesters,,"<p>15 April To 15 May For October Entries (winter Semester)<br />
1 October To 1 November For&nbsp;March Entries (summer Semester)</p>",FALSE,,Welcome Event | Buddy Programme | Tutors | Cultural And Linguistic Preparation | Accompanying Programme | Visa Matters | Pick-Up Service,Computer Science,,deggendorf,Pfarrkirchen,Approximately 120,0.5,39.12,deggendorf,25
5616,Master Of Science In Computer Science,Paderborn University,paderborn,English,4 Semesters,,"<p>Winter Semester (starting In October): 31 May<br />
Summer Semester (starting In April): 30 November</p>",FALSE,,Welcome Event | Tutors | Specialist Counselling | Buddy Programme,Computer Science,,paderborn,Gütersloh,63–93,1,33.28,paderborn,92
5616,Master Of Science In Computer Science,Paderborn University,paderborn,English,4 Semesters,,"<p>Winter Semester (starting In October): 31 May<br />
Summer Semester (starting In April): 30 November</p>",FALSE,,Welcome Event | Tutors | Specialist Counselling | Buddy Programme,Computer Science,,paderborn,Soest,25,1,47.58,paderborn,92
5616,Master Of Science In Computer Science,Paderborn University,paderborn,English,4 Semesters,,"<p>Winter Semester (starting In October): 31 May<br />
Summer Semester (starting In April): 30 November</p>",FALSE,,Welcome Event | Tutors | Specialist Counselling | Buddy Programme,Computer Science,,paderborn,Bielefeld,47,1,36.85,paderborn,92
5616,Master Of Science In Computer Science,Paderborn University,paderborn,English,4 Semesters,,"<p>Winter Semester (starting In October): 31 May<br />
Summer Semester (starting In April): 30 November</p>",FALSE,,Welcome Event | Tutors | Specialist Counselling | Buddy Programme,Computer Science,,paderborn,Lemgo,Approximately 60,1,36.02,paderborn,92
5616,Master Of Science In Computer Science,Paderborn University,paderborn,English,4 Semesters,,"<p>Winter Semester (starting In October): 31 May<br />
Summer Semester (starting In April): 30 November</p>",FALSE,,Welcome Event | Tutors | Specialist Counselling | Buddy Programme,Computer Science,,paderborn,Detmold,Approximately 60,1,25.84,paderborn,92
5616,Master Of Science In Computer Science,Paderborn University,paderborn,English,4 Semesters,,"<p>Winter Semester (starting In October): 31 May<br />
Summer Semester (starting In April): 30 November</p>",FALSE,,Welcome Event | Tutors | Specialist Counselling | Buddy Programme,Computer Science,,paderborn,Höxter,Approximately 60,1,42.03,paderborn,92
4455,MSc Computer Science,University Of Passau,passau,"English,German",4 Semesters,,"<p>The Application Round For The April Intake Starts In Mid-November Of The Previous Year; For The October Intake, The Application Round Starts In Early April. As The Application Deadlines Can Currently Change On Short Notice, We Ask That You Check <a Href=""http://www.uni-Passau.de/en/apply/?pk_campaign=DAADIPG"">our Application Pages</a> Closer To The Time For The Specific Dates (and What Documents You Need To Submit).</p>",FALSE,,Welcome Event | Buddy Programme | Tutors | Accompanying Programme | Specialist Counselling | Cultural And Linguistic Preparation | Visa Matters,Computer Science,,passau,Deggendorf,37–55,1,40.95,passau,7
4455,MSc Computer Science,University Of Passau,passau,"English,German",4 Semesters,,"<p>The Application Round For The April Intake Starts In Mid-November Of The Previous Year; For The October Intake, The Application Round Starts In Early April. As The Application Deadlines Can Currently Change On Short Notice, We Ask That You Check <a Href=""http://www.uni-Passau.de/en/apply/?pk_campaign=DAADIPG"">our Application Pages</a> Closer To The Time For The Specific Dates (and What Documents You Need To Submit).</p>",FALSE,,Welcome Event | Buddy Programme | Tutors | Accompanying Programme | Specialist Counselling | Cultural And Linguistic Preparation | Visa Matters,Computer Science,,passau,Pfarrkirchen,80–85,1,41.74,passau,7
4591,Computer Science,University Of Siegen,siegen,English,4 Semesters,,"<p><a Href=""https://www.master-Cs.eti.uni-Siegen.de/en/application"">https://www.master-Cs.eti.uni-Siegen.de/en/application</a></p>

<p>Non-EU Applicants Are Advised To Apply As Early As Possible, Allowing For Some Delay To Complete The Visa Process.</p>",FALSE,,Specialist Counselling,Computer Science,,siegen,Marburg,78–101,1,52.98,siegen,89
4591,Computer Science,University Of Siegen,siegen,English,4 Semesters,,"<p><a Href=""https://www.master-Cs.eti.uni-Siegen.de/en/application"">https://www.master-Cs.eti.uni-Siegen.de/en/application</a></p>

<p>Non-EU Applicants Are Advised To Apply As Early As Possible, Allowing For Some Delay To Complete The Visa Process.</p>",FALSE,,Specialist Counselling,Computer Science,,siegen,Gummersbach,175–185,1,36.67,siegen,89
4591,Computer Science,University Of Siegen,siegen,English,4 Semesters,,"<p><a Href=""https://www.master-Cs.eti.uni-Siegen.de/en/application"">https://www.master-Cs.eti.uni-Siegen.de/en/application</a></p>

<p>Non-EU Applicants Are Advised To Apply As Early As Possible, Allowing For Some Delay To Complete The Visa Process.</p>",FALSE,,Specialist Counselling,Computer Science,,siegen,Gießen,60–70,1,55.95,siegen,89
4591,Computer Science,University Of Siegen,siegen,English,4 Semesters,,"<p><a Href=""https://www.master-Cs.eti.uni-Siegen.de/en/application"">https://www.master-Cs.eti.uni-Siegen.de/en/application</a></p>

<p>Non-EU Applicants Are Advised To Apply As Early As Possible, Allowing For Some Delay To Complete The Visa Process.</p>",FALSE,,Specialist Counselling,Computer Science,,siegen,Sankt Augustin,120–130,1,59.95,siegen,89
7606,Computer Science,University Of Bonn,bonn,English,4 Semesters,,"<ul>
	<li>For The Winter Semester: 1 May For Non-EU Citizens, 1&nbsp;September For EU Citizens And Nationals From Countries That Are Visa-Exempted</li>
	<li>For The Summer Semester: 1 November For Non-EU Citizens, 1&nbsp;March For EU Citizens And Nationals From Countries That Are Visa-Exempted</li>
</ul>

<p>Please Verify These&nbsp;dates On Our Website&nbsp;before Applying:&nbsp;<a Href=""https://www.informatik.uni-Bonn.de/en/studies/examination-Office/deadlines-At-A-Glance#AdmissionMaster"">https://www.informatik.uni-Bonn.de/en/studies/examination-Office/deadlines-At-A-Glance#AdmissionMaster</a></p>",FALSE,,Welcome Event | Specialist Counselling,Computer Science,,bonn,Köln,20–30,4,24.72,bonn,143
7606,Computer Science,University Of Bonn,bonn,English,4 Semesters,,"<ul>
	<li>For The Winter Semester: 1 May For Non-EU Citizens, 1&nbsp;September For EU Citizens And Nationals From Countries That Are Visa-Exempted</li>
	<li>For The Summer Semester: 1 November For Non-EU Citizens, 1&nbsp;March For EU Citizens And Nationals From Countries That Are Visa-Exempted</li>
</ul>

<p>Please Verify These&nbsp;dates On Our Website&nbsp;before Applying:&nbsp;<a Href=""https://www.informatik.uni-Bonn.de/en/studies/examination-Office/deadlines-At-A-Glance#AdmissionMaster"">https://www.informatik.uni-Bonn.de/en/studies/examination-Office/deadlines-At-A-Glance#AdmissionMaster</a></p>",FALSE,,Welcome Event | Specialist Counselling,Computer Science,,bonn,Wuppertal,60–70,1,59.06,bonn,143
7606,Computer Science,University Of Bonn,bonn,English,4 Semesters,,"<ul>
	<li>For The Winter Semester: 1 May For Non-EU Citizens, 1&nbsp;September For EU Citizens And Nationals From Countries That Are Visa-Exempted</li>
	<li>For The Summer Semester: 1 November For Non-EU Citizens, 1&nbsp;March For EU Citizens And Nationals From Countries That Are Visa-Exempted</li>
</ul>

<p>Please Verify These&nbsp;dates On Our Website&nbsp;before Applying:&nbsp;<a Href=""https://www.informatik.uni-Bonn.de/en/studies/examination-Office/deadlines-At-A-Glance#AdmissionMaster"">https://www.informatik.uni-Bonn.de/en/studies/examination-Office/deadlines-At-A-Glance#AdmissionMaster</a></p>",FALSE,,Welcome Event | Specialist Counselling,Computer Science,,bonn,Gummersbach,90–100,1,45.93,bonn,143
7606,Computer Science,University Of Bonn,bonn,English,4 Semesters,,"<ul>
	<li>For The Winter Semester: 1 May For Non-EU Citizens, 1&nbsp;September For EU Citizens And Nationals From Countries That Are Visa-Exempted</li>
	<li>For The Summer Semester: 1 November For Non-EU Citizens, 1&nbsp;March For EU Citizens And Nationals From Countries That Are Visa-Exempted</li>
</ul>

<p>Please Verify These&nbsp;dates On Our Website&nbsp;before Applying:&nbsp;<a Href=""https://www.informatik.uni-Bonn.de/en/studies/examination-Office/deadlines-At-A-Glance#AdmissionMaster"">https://www.informatik.uni-Bonn.de/en/studies/examination-Office/deadlines-At-A-Glance#AdmissionMaster</a></p>",FALSE,,Welcome Event | Specialist Counselling,Computer Science,,bonn,Koblenz,30–45,2,54.96,bonn,143
7606,Computer Science,University Of Bonn,bonn,English,4 Semesters,,"<ul>
	<li>For The Winter Semester: 1 May For Non-EU Citizens, 1&nbsp;September For EU Citizens And Nationals From Countries That Are Visa-Exempted</li>
	<li>For The Summer Semester: 1 November For Non-EU Citizens, 1&nbsp;March For EU Citizens And Nationals From Countries That Are Visa-Exempted</li>
</ul>

<p>Please Verify These&nbsp;dates On Our Website&nbsp;before Applying:&nbsp;<a Href=""https://www.informatik.uni-Bonn.de/en/studies/examination-Office/deadlines-At-A-Glance#AdmissionMaster"">https://www.informatik.uni-Bonn.de/en/studies/examination-Office/deadlines-At-A-Glance#AdmissionMaster</a></p>",FALSE,,Welcome Event | Specialist Counselling,Computer Science,,bonn,Düsseldorf,60–70,2,59.14,bonn,143
7606,Computer Science,University Of Bonn,bonn,English,4 Semesters,,"<ul>
	<li>For The Winter Semester: 1 May For Non-EU Citizens, 1&nbsp;September For EU Citizens And Nationals From Countries That Are Visa-Exempted</li>
	<li>For The Summer Semester: 1 November For Non-EU Citizens, 1&nbsp;March For EU Citizens And Nationals From Countries That Are Visa-Exempted</li>
</ul>

<p>Please Verify These&nbsp;dates On Our Website&nbsp;before Applying:&nbsp;<a Href=""https://www.informatik.uni-Bonn.de/en/studies/examination-Office/deadlines-At-A-Glance#AdmissionMaster"">https://www.informatik.uni-Bonn.de/en/studies/examination-Office/deadlines-At-A-Glance#AdmissionMaster</a></p>",FALSE,,Welcome Event | Specialist Counselling,Computer Science,,bonn,Jülich,80–90,1,56.22,bonn,143
7606,Computer Science,University Of Bonn,bonn,English,4 Semesters,,"<ul>
	<li>For The Winter Semester: 1 May For Non-EU Citizens, 1&nbsp;September For EU Citizens And Nationals From Countries That Are Visa-Exempted</li>
	<li>For The Summer Semester: 1 November For Non-EU Citizens, 1&nbsp;March For EU Citizens And Nationals From Countries That Are Visa-Exempted</li>
</ul>

<p>Please Verify These&nbsp;dates On Our Website&nbsp;before Applying:&nbsp;<a Href=""https://www.informatik.uni-Bonn.de/en/studies/examination-Office/deadlines-At-A-Glance#AdmissionMaster"">https://www.informatik.uni-Bonn.de/en/studies/examination-Office/deadlines-At-A-Glance#AdmissionMaster</a></p>",FALSE,,Welcome Event | Specialist Counselling,Computer Science,,bonn,Rheinbach,25–30,2,16.31,bonn,143
7606,Computer Science,University Of Bonn,bonn,English,4 Semesters,,"<ul>
	<li>For The Winter Semester: 1 May For Non-EU Citizens, 1&nbsp;September For EU Citizens And Nationals From Countries That Are Visa-Exempted</li>
	<li>For The Summer Semester: 1 November For Non-EU Citizens, 1&nbsp;March For EU Citizens And Nationals From Countries That Are Visa-Exempted</li>
</ul>

<p>Please Verify These&nbsp;dates On Our Website&nbsp;before Applying:&nbsp;<a Href=""https://www.informatik.uni-Bonn.de/en/studies/examination-Office/deadlines-At-A-Glance#AdmissionMaster"">https://www.informatik.uni-Bonn.de/en/studies/examination-Office/deadlines-At-A-Glance#AdmissionMaster</a></p>",FALSE,,Welcome Event | Specialist Counselling,Computer Science,,bonn,Sankt Augustin,10–15,4,7.59,bonn,143
7606,Computer Science,University Of Bonn,bonn,English,4 Semesters,,"<ul>
	<li>For The Winter Semester: 1 May For Non-EU Citizens, 1&nbsp;September For EU Citizens And Nationals From Countries That Are Visa-Exempted</li>
	<li>For The Summer Semester: 1 November For Non-EU Citizens, 1&nbsp;March For EU Citizens And Nationals From Countries That Are Visa-Exempted</li>
</ul>

<p>Please Verify These&nbsp;dates On Our Website&nbsp;before Applying:&nbsp;<a Href=""https://www.informatik.uni-Bonn.de/en/studies/examination-Office/deadlines-At-A-Glance#AdmissionMaster"">https://www.informatik.uni-Bonn.de/en/studies/examination-Office/deadlines-At-A-Glance#AdmissionMaster</a></p>",FALSE,,Welcome Event | Specialist Counselling,Computer Science,,bonn,Remagen,20–25,2,19.52,bonn,143
8324,Master Of Science In Computer Science,Bingen Technical University Of Applied Sciences,bingen am rhein,English,3 Semesters,,"<p>Enrolment Is Only Possible For The Winter Semester.</p>

<p><strong>Winter Semester 2025/26</strong></p>

<p>Start Of The Application Period: 2 May 2025<br />
End Of The Application Period: 15 June 2025</p>",FALSE,,Welcome Event | Buddy Programme | Accompanying Programme | Cultural And Linguistic Preparation,Computer Science,,bingen am rhein,Kaiserslautern,69–90,1,59.01,bingen am rhein,6
8324,Master Of Science In Computer Science,Bingen Technical University Of Applied Sciences,bingen am rhein,English,3 Semesters,,"<p>Enrolment Is Only Possible For The Winter Semester.</p>

<p><strong>Winter Semester 2025/26</strong></p>

<p>Start Of The Application Period: 2 May 2025<br />
End Of The Application Period: 15 June 2025</p>",FALSE,,Welcome Event | Buddy Programme | Accompanying Programme | Cultural And Linguistic Preparation,Computer Science,,bingen am rhein,Frankfurt am Main,60–75,1,58.63,bingen am rhein,6
8324,Master Of Science In Computer Science,Bingen Technical University Of Applied Sciences,bingen am rhein,English,3 Semesters,,"<p>Enrolment Is Only Possible For The Winter Semester.</p>

<p><strong>Winter Semester 2025/26</strong></p>

<p>Start Of The Application Period: 2 May 2025<br />
End Of The Application Period: 15 June 2025</p>",FALSE,,Welcome Event | Buddy Programme | Accompanying Programme | Cultural And Linguistic Preparation,Computer Science,,bingen am rhein,Koblenz,50–60,1,47.97,bingen am rhein,6
8324,Master Of Science In Computer Science,Bingen Technical University Of Applied Sciences,bingen am rhein,English,3 Semesters,,"<p>Enrolment Is Only Possible For The Winter Semester.</p>

<p><strong>Winter Semester 2025/26</strong></p>

<p>Start Of The Application Period: 2 May 2025<br />
End Of The Application Period: 15 June 2025</p>",FALSE,,Welcome Event | Buddy Programme | Accompanying Programme | Cultural And Linguistic Preparation,Computer Science,,bingen am rhein,Darmstadt,80–90,1,56.7,bingen am rhein,6
8324,Master Of Science In Computer Science,Bingen Technical University Of Applied Sciences,bingen am rhein,English,3 Semesters,,"<p>Enrolment Is Only Possible For The Winter Semester.</p>

<p><strong>Winter Semester 2025/26</strong></p>

<p>Start Of The Application Period: 2 May 2025<br />
End Of The Application Period: 15 June 2025</p>",FALSE,,Welcome Event | Buddy Programme | Accompanying Programme | Cultural And Linguistic Preparation,Computer Science,,bingen am rhein,Bad Homburg vor der Höhe,75–90,1,59.19,bingen am rhein,6
8324,Master Of Science In Computer Science,Bingen Technical University Of Applied Sciences,bingen am rhein,English,3 Semesters,,"<p>Enrolment Is Only Possible For The Winter Semester.</p>

<p><strong>Winter Semester 2025/26</strong></p>

<p>Start Of The Application Period: 2 May 2025<br />
End Of The Application Period: 15 June 2025</p>",FALSE,,Welcome Event | Buddy Programme | Accompanying Programme | Cultural And Linguistic Preparation,Computer Science,,bingen am rhein,Mainz,25–28,1,27.43,bingen am rhein,6
8324,Master Of Science In Computer Science,Bingen Technical University Of Applied Sciences,bingen am rhein,English,3 Semesters,,"<p>Enrolment Is Only Possible For The Winter Semester.</p>

<p><strong>Winter Semester 2025/26</strong></p>

<p>Start Of The Application Period: 2 May 2025<br />
End Of The Application Period: 15 June 2025</p>",FALSE,,Welcome Event | Buddy Programme | Accompanying Programme | Cultural And Linguistic Preparation,Computer Science,,bingen am rhein,Idstein,60–70,1,38.95,bingen am rhein,6
8324,Master Of Science In Computer Science,Bingen Technical University Of Applied Sciences,bingen am rhein,English,3 Semesters,,"<p>Enrolment Is Only Possible For The Winter Semester.</p>

<p><strong>Winter Semester 2025/26</strong></p>

<p>Start Of The Application Period: 2 May 2025<br />
End Of The Application Period: 15 June 2025</p>",FALSE,,Welcome Event | Buddy Programme | Accompanying Programme | Cultural And Linguistic Preparation,Computer Science,,bingen am rhein,Weidenbach,40–50,1,20.79,bingen am rhein,6
8324,Master Of Science In Computer Science,Bingen Technical University Of Applied Sciences,bingen am rhein,English,3 Semesters,,"<p>Enrolment Is Only Possible For The Winter Semester.</p>

<p><strong>Winter Semester 2025/26</strong></p>

<p>Start Of The Application Period: 2 May 2025<br />
End Of The Application Period: 15 June 2025</p>",FALSE,,Welcome Event | Buddy Programme | Accompanying Programme | Cultural And Linguistic Preparation,Computer Science,,bingen am rhein,Worms,60–70,1,50.41,bingen am rhein,6
8324,Master Of Science In Computer Science,Bingen Technical University Of Applied Sciences,bingen am rhein,English,3 Semesters,,"<p>Enrolment Is Only Possible For The Winter Semester.</p>

<p><strong>Winter Semester 2025/26</strong></p>

<p>Start Of The Application Period: 2 May 2025<br />
End Of The Application Period: 15 June 2025</p>",FALSE,,Welcome Event | Buddy Programme | Accompanying Programme | Cultural And Linguistic Preparation,Computer Science,,bingen am rhein,Wiesbaden,30–40,1,27.95,bingen am rhein,6
9856,Computer Science,University Of Regensburg,regensburg,English,4 Semesters,,"<p>1 June For The Following Winter Semester, 1 December For The Following Summer Semester</p>

<p>Non-EU Applicants Are Strongly Advised To Apply For The Winter Semester By 15 April At The Latest And For The Summer Semester By 15 October At The Latest In Order To Be Able To Apply For A Visa As Soon As Possible If They Are Admitted.</p>",FALSE,,Welcome Event | Tutors | Visa Matters | Help With Finding Accommodation | Support With Registration Procedures,Computer Science,,regensburg,Amberg,46,1,51.68,regensburg,106
9856,Computer Science,University Of Regensburg,regensburg,English,4 Semesters,,"<p>1 June For The Following Winter Semester, 1 December For The Following Summer Semester</p>

<p>Non-EU Applicants Are Strongly Advised To Apply For The Winter Semester By 15 April At The Latest And For The Summer Semester By 15 October At The Latest In Order To Be Able To Apply For A Visa As Soon As Possible If They Are Admitted.</p>",FALSE,,Welcome Event | Tutors | Visa Matters | Help With Finding Accommodation | Support With Registration Procedures,Computer Science,,regensburg,Ingolstadt,60–70,1,56.97,regensburg,106
9856,Computer Science,University Of Regensburg,regensburg,English,4 Semesters,,"<p>1 June For The Following Winter Semester, 1 December For The Following Summer Semester</p>

<p>Non-EU Applicants Are Strongly Advised To Apply For The Winter Semester By 15 April At The Latest And For The Summer Semester By 15 October At The Latest In Order To Be Able To Apply For A Visa As Soon As Possible If They Are Admitted.</p>",FALSE,,Welcome Event | Tutors | Visa Matters | Help With Finding Accommodation | Support With Registration Procedures,Computer Science,,regensburg,Cham,62–72,7 direct trains daily,47.02,regensburg,106
3629,Computer Science (Master Of Science),RPTU University Of Kaiserslautern-Landau,kaiserslautern,English,4 Semesters,,"<p>For International Applicants Applying From Abroad Who Need A Visa:<br />
30 April For The Following Winter Semester<br />
31 October For The Following Summer Semester</p>

<p>Others:<br />
15 January For The Following Summer Semester<br />
15 July For The Following Winter Semester</p>",FALSE,,Tutors | Specialist Counselling | Cultural And Linguistic Preparation | Pick-Up Service,Computer Science,,kaiserslautern,Bingen am Rhein,91,1,59.01,kaiserslautern,22
3629,Computer Science (Master Of Science),RPTU University Of Kaiserslautern-Landau,kaiserslautern,English,4 Semesters,,"<p>For International Applicants Applying From Abroad Who Need A Visa:<br />
30 April For The Following Winter Semester<br />
31 October For The Following Summer Semester</p>

<p>Others:<br />
15 January For The Following Summer Semester<br />
15 July For The Following Winter Semester</p>",FALSE,,Tutors | Specialist Counselling | Cultural And Linguistic Preparation | Pick-Up Service,Computer Science,,kaiserslautern,Mannheim,50,1,50.88,kaiserslautern,22
3629,Computer Science (Master Of Science),RPTU University Of Kaiserslautern-Landau,kaiserslautern,English,4 Semesters,,"<p>For International Applicants Applying From Abroad Who Need A Visa:<br />
30 April For The Following Winter Semester<br />
31 October For The Following Summer Semester</p>

<p>Others:<br />
15 January For The Following Summer Semester<br />
15 July For The Following Winter Semester</p>",FALSE,,Tutors | Specialist Counselling | Cultural And Linguistic Preparation | Pick-Up Service,Computer Science,,kaiserslautern,Birkenfeld,60,1,49.35,kaiserslautern,22
3629,Computer Science (Master Of Science),RPTU University Of Kaiserslautern-Landau,kaiserslautern,English,4 Semesters,,"<p>For International Applicants Applying From Abroad Who Need A Visa:<br />
30 April For The Following Winter Semester<br />
31 October For The Following Summer Semester</p>

<p>Others:<br />
15 January For The Following Summer Semester<br />
15 July For The Following Winter Semester</p>",FALSE,,Tutors | Specialist Counselling | Cultural And Linguistic Preparation | Pick-Up Service,Computer Science,,kaiserslautern,Landau in der Pfalz,40,1,36.95,kaiserslautern,22
3629,Computer Science (Master Of Science),RPTU University Of Kaiserslautern-Landau,kaiserslautern,English,4 Semesters,,"<p>For International Applicants Applying From Abroad Who Need A Visa:<br />
30 April For The Following Winter Semester<br />
31 October For The Following Summer Semester</p>

<p>Others:<br />
15 January For The Following Summer Semester<br />
15 July For The Following Winter Semester</p>",FALSE,,Tutors | Specialist Counselling | Cultural And Linguistic Preparation | Pick-Up Service,Computer Science,,kaiserslautern,Worms,60,1,47.7,kaiserslautern,22
3629,Computer Science (Master Of Science),RPTU University Of Kaiserslautern-Landau,kaiserslautern,English,4 Semesters,,"<p>For International Applicants Applying From Abroad Who Need A Visa:<br />
30 April For The Following Winter Semester<br />
31 October For The Following Summer Semester</p>

<p>Others:<br />
15 January For The Following Summer Semester<br />
15 July For The Following Winter Semester</p>",FALSE,,Tutors | Specialist Counselling | Cultural And Linguistic Preparation | Pick-Up Service,Computer Science,,kaiserslautern,Zweibrücken,30,1,36.52,kaiserslautern,22
3629,Computer Science (Master Of Science),RPTU University Of Kaiserslautern-Landau,kaiserslautern,English,4 Semesters,,"<p>For International Applicants Applying From Abroad Who Need A Visa:<br />
30 April For The Following Winter Semester<br />
31 October For The Following Summer Semester</p>

<p>Others:<br />
15 January For The Following Summer Semester<br />
15 July For The Following Winter Semester</p>",FALSE,,Tutors | Specialist Counselling | Cultural And Linguistic Preparation | Pick-Up Service,Computer Science,,kaiserslautern,Pirmasens,35,1,29.48,kaiserslautern,22
